,#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
0,gfz2025upgl,2025-10-20T23:00:55.01,44.996,14.954,10.0,,,GFZ,gfz2025upgl,M,3.1,,Adriatic Sea,
1,gfz2025upfw,2025-10-20T22:43:15.43,53.012,159.748,52.6,,,GFZ,gfz2025upfw,mb,5.03,,Near East Coast of Kamchatka,
2,gfz2025upfm,2025-10-20T22:31:56.23,-6.891,125.707,510.3,,,GFZ,gfz2025upfm,mb,4.45,,Banda Sea,
3,gfz2025upfl,2025-10-20T22:30:33.28,46.549,152.939,10.0,,,GFZ,gfz2025upfl,mb,5.07,,Kuril Islands,
4,gfz2025uoyy,2025-10-20T19:13:46.18,18.519,-70.506,10.0,,,GFZ,gfz2025uoyy,mb,5.03,,Dominican Republic Region,
5,gfz2025uoyq,2025-10-20T19:04:06.58,35.427,135.464,359.9,,,GFZ,gfz2025uoyq,Mw,5.09,,"Western Honshu, Japan",
6,gfz2025uoye,2025-10-20T18:50:30.7,-2.138,138.867,28.5,,,GFZ,gfz2025uoye,mb,4.92,,"West Papua, Indonesia",
7,gfz2025uoya,2025-10-20T18:45:29.72,51.471,-177.138,52.8,,,GFZ,gfz2025uoya,mb,5.02,,"Andreanof Islands, Aleutian Islands",
8,gfz2025uoxa,2025-10-20T18:14:24.18,29.809,51.682,10.0,,,GFZ,gfz2025uoxa,mb,4.45,,Southern Iran,
9,gfz2025uotz,2025-10-20T16:42:30.62,51.462,16.03,1.0,,,GFZ,gfz2025uotz,MLv,3.03,,Poland,quarry blast
10,gfz2025uotl,2025-10-20T16:26:41.5,13.918,39.791,10.0,,,GFZ,gfz2025uotl,mb,4.8,,Ethiopia,
11,gfz2025uotd,2025-10-20T16:16:48.77,-7.186,122.427,535.9,,,GFZ,gfz2025uotd,mb,4.93,,Flores Sea,
12,gfz2025uokn,2025-10-20T11:55:46.74,36.632,54.99,10.0,,,GFZ,gfz2025uokn,mb,4.46,,Northern and Central Iran,
13,gfz2025uojw,2025-10-20T11:35:51.09,7.021,127.231,10.7,,,GFZ,gfz2025uojw,Mw,5.81,,Philippine Islands Region,
14,gfz2025uoff,2025-10-20T09:14:55.41,-52.182,-61.484,10.0,,,GFZ,gfz2025uoff,mb,4.76,,Falkland Islands Region,
15,gfz2025unyq,2025-10-20T05:56:01.83,-9.369,119.971,10.0,,,GFZ,gfz2025unyq,Mw,4.78,,"Sumba Region, Indonesia",
16,gfz2025unye,2025-10-20T05:42:02.84,30.203,70.021,10.0,,,GFZ,gfz2025unye,mb,4.86,,Pakistan,
17,gfz2025unvl,2025-10-20T04:18:36.75,53.388,161.489,10.0,,,GFZ,gfz2025unvl,mb,5.12,,Off East Coast of Kamchatka,
18,gfz2025unsh,2025-10-20T02:43:21.2,18.038,119.768,10.0,,,GFZ,gfz2025unsh,mb,4.98,,Philippine Islands Region,
19,gfz2025unqd,2025-10-20T01:38:23.6,1.832,127.293,52.5,,,GFZ,gfz2025unqd,mb,4.85,,"Halmahera, Indonesia",
20,gfz2025unoi,2025-10-20T00:43:01.89,-5.69,-11.455,10.0,,,GFZ,gfz2025unoi,Mw,4.82,,Ascension Island Region,
21,gfz2025unmi,2025-10-19T23:42:46.43,12.747,143.218,121.9,,,GFZ,gfz2025unmi,mb,4.81,,South of Mariana Islands,
22,gfz2025unmc,2025-10-19T23:35:58.91,-3.053,129.402,30.3,,,GFZ,gfz2025unmc,mb,4.94,,"Seram, Indonesia",
23,gfz2025unkx,2025-10-19T22:59:32.24,40.446,19.856,10.0,,,GFZ,gfz2025unkx,Mw,3.87,,Albania,
24,gfz2025unkk,2025-10-19T22:44:49.68,-7.528,130.729,10.0,,,GFZ,gfz2025unkk,Mw,4.55,,"Tanimbar Islands Region, Indonesia",
25,gfz2025uniw,2025-10-19T21:57:46.15,36.852,72.857,63.9,,,GFZ,gfz2025uniw,mb,4.61,,Afghanistan-Tajikistan Border Region,
26,gfz2025unev,2025-10-19T19:55:31.5,51.634,159.2,10.0,,,GFZ,gfz2025unev,mb,5.13,,Off East Coast of Kamchatka,
27,gfz2025uncr,2025-10-19T18:50:04.75,-17.919,-174.935,212.8,,,GFZ,gfz2025uncr,mb,4.6,,Tonga Islands,
28,gfz2025unby,2025-10-19T18:27:55.85,51.467,159.418,16.2,,,GFZ,gfz2025unby,mb,4.91,,Off East Coast of Kamchatka,
29,gfz2025umzn,2025-10-19T17:14:21.4,-10.465,161.47,93.3,,,GFZ,gfz2025umzn,Mw,5.36,,Solomon Islands,
30,gfz2025umwj,2025-10-19T15:37:21.89,1.313,125.827,67.9,,,GFZ,gfz2025umwj,mb,5.01,,Northern Molucca Sea,
31,gfz2025umvg,2025-10-19T15:05:29.92,8.882,126.515,74.2,,,GFZ,gfz2025umvg,mb,4.52,,"Mindanao, Philippines",
32,gfz2025umtc,2025-10-19T13:59:40.87,36.79,72.802,55.3,,,GFZ,gfz2025umtc,mb,5.12,,Afghanistan-Tajikistan Border Region,
33,gfz2025umlf,2025-10-19T10:00:20.62,-7.817,123.319,10.0,,,GFZ,gfz2025umlf,mb,4.99,,Banda Sea,
34,gfz2025umlb,2025-10-19T09:55:46.75,-7.035,155.619,61.5,,,GFZ,gfz2025umlb,mb,4.99,,Solomon Islands,
35,gfz2025umge,2025-10-19T07:28:19.08,6.468,126.812,194.6,,,GFZ,gfz2025umge,mb,5.0,,"Mindanao, Philippines",
36,gfz2025umga,2025-10-19T07:23:46.11,52.461,160.698,16.5,,,GFZ,gfz2025umga,Mw,5.09,,Off East Coast of Kamchatka,
37,gfz2025umfa,2025-10-19T06:53:19.36,-8.383,109.039,52.3,,,GFZ,gfz2025umfa,mb,4.85,,"Java, Indonesia",
38,gfz2025ulxc,2025-10-19T02:52:37.09,-2.229,138.54,10.0,,,GFZ,gfz2025ulxc,mb,4.95,,"West Papua, Indonesia",
39,gfz2025ulun,2025-10-19T01:34:56.43,6.949,127.115,47.8,,,GFZ,gfz2025ulun,mb,5.1,,Philippine Islands Region,
40,gfz2025ultr,2025-10-19T01:09:21.55,-17.925,-178.314,503.3,,,GFZ,gfz2025ultr,mb,4.64,,Fiji Islands Region,
41,gfz2025ulfl,2025-10-18T17:57:12.76,53.35,161.533,10.0,,,GFZ,gfz2025ulfl,mb,5.49,,Off East Coast of Kamchatka,
42,gfz2025ulbl,2025-10-18T15:57:02.78,-8.041,114.815,198.1,,,GFZ,gfz2025ulbl,mb,4.37,,"Bali Region, Indonesia",
43,gfz2025ulaa,2025-10-18T15:13:15.72,53.481,161.461,10.0,,,GFZ,gfz2025ulaa,mb,4.76,,Off East Coast of Kamchatka,
44,gfz2025ukzp,2025-10-18T14:59:59.37,51.504,16.082,10.0,,,GFZ,gfz2025ukzp,mb,4.35,,Poland,
45,gfz2025ukur,2025-10-18T12:31:33.98,8.853,126.404,68.1,,,GFZ,gfz2025ukur,Mw,5.41,,"Mindanao, Philippines",
46,gfz2025ukri,2025-10-18T10:50:17.66,18.704,120.636,10.0,,,GFZ,gfz2025ukri,mb,4.94,,"Luzon, Philippines",
47,gfz2025ukqc,2025-10-18T10:12:07.27,-1.179,127.26,10.0,,,GFZ,gfz2025ukqc,mb,4.63,,"Halmahera, Indonesia",
48,gfz2025ujzz,2025-10-18T02:04:13.53,24.28,122.106,30.0,,,GFZ,gfz2025ujzz,Mw,4.84,,Taiwan Region,
49,gfz2025ujox,2025-10-17T20:28:15.18,29.84,139.063,416.2,,,GFZ,gfz2025ujox,mb,5.16,,"Southeast of Honshu, Japan",
50,gfz2025ujfr,2025-10-17T15:48:48.31,53.735,-165.86,67.9,,,GFZ,gfz2025ujfr,Mw,5.05,,"Fox Islands, Aleutian Islands",
51,gfz2025uiyq,2025-10-17T12:15:05.62,36.634,72.763,20.0,,,GFZ,gfz2025uiyq,Mw,5.49,,Afghanistan-Tajikistan Border Region,
52,gfz2025uiyp,2025-10-17T12:14:17.03,-41.167,-91.039,116.6,,,GFZ,gfz2025uiyp,mb,4.57,,Southeast of Easter Island,
53,gfz2025uirv,2025-10-17T08:49:13.6,50.098,157.166,45.4,,,GFZ,gfz2025uirv,mb,5.18,,Kuril Islands,
54,gfz2025uirh,2025-10-17T08:31:48.87,18.643,120.608,10.0,,,GFZ,gfz2025uirh,mb,4.97,,"Luzon, Philippines",
55,gfz2025uiqr,2025-10-17T08:14:10.05,18.681,120.618,10.0,,,GFZ,gfz2025uiqr,mb,5.15,,"Luzon, Philippines",
56,gfz2025uils,2025-10-17T05:43:06.51,13.824,39.825,10.0,,,GFZ,gfz2025uils,mb,4.7,,Ethiopia,
57,gfz2025uijs,2025-10-17T04:43:12.15,-6.84,130.392,104.0,,,GFZ,gfz2025uijs,mb,4.77,,Banda Sea,
58,gfz2025uiit,2025-10-17T04:13:03.29,-2.241,138.918,10.0,,,GFZ,gfz2025uiit,Mw,5.12,,"West Papua, Indonesia",
59,gfz2025uiie,2025-10-17T03:55:48.01,35.483,23.121,60.2,,,GFZ,gfz2025uiie,mb,4.48,,"Crete, Greece",
60,gfz2025uihp,2025-10-17T03:38:14.88,-24.283,179.948,516.5,,,GFZ,gfz2025uihp,mb,4.57,,South of Fiji Islands,
61,gfz2025uidf,2025-10-17T01:25:56.74,53.192,159.795,51.7,,,GFZ,gfz2025uidf,mb,5.59,,Near East Coast of Kamchatka,
62,gfz2025uicw,2025-10-17T01:15:11.35,-30.75,-71.501,41.3,,,GFZ,gfz2025uicw,mb,4.55,,Near Coast of Central Chile,
